Epoch	Total_Loss	Loss_IC	Loss_BC	Loss_PDE
100	7.451803e+00	7.301299e-02	1.480872e-02	2.416995e-03
200	7.559155e-01	3.174404e-03	1.616783e-03	4.223073e-01
300	4.537018e-02	1.494018e-04	6.124107e-05	2.981759e-02
400	1.700011e-02	8.472065e-05	3.140211e-05	8.214028e-03
500	9.321090e-03	4.487852e-05	1.416442e-05	4.691593e-03
600	7.163758e-03	3.142306e-05	9.299685e-06	3.928455e-03
700	5.544205e-03	2.302719e-05	5.501608e-06	3.186470e-03
800	4.281665e-03	1.741978e-05	3.212944e-06	2.507558e-03
900	3.224515e-03	1.234183e-05	2.817005e-06	1.962162e-03
1000	2.709433e-03	1.056333e-05	4.102914e-06	1.612071e-03
